Type,FirstRound,SecondRound,SweetSixteen,EliteEight,FinalFour,Championship,Total
FiveThirtyEight,270.0,280.0,200.0,80.0,0.0,0.0,830.0
CoinFlip,90.0,20.0,0.0,0.0,0.0,0.0,110.0
FiveThirtyEight,280.0,260.0,160.0,80.0,0.0,0.0,780.0
CoinFlip,180.0,60.0,80.0,80.0,0.0,0.0,400.0
FiveThirtyEight,250.0,220.0,240.0,160.0,160.0,0.0,1030.0
CoinFlip,130.0,80.0,40.0,0.0,0.0,0.0,250.0
FiveThirtyEight,230.0,260.0,200.0,240.0,160.0,320.0,1410.0
CoinFlip,130.0,60.0,40.0,0.0,0.0,0.0,230.0
FiveThirtyEight,270.0,280.0,160.0,160.0,0.0,0.0,870.0
CoinFlip,130.0,60.0,0.0,0.0,0.0,0.0,190.0
FiveThirtyEight,290.0,240.0,240.0,160.0,160.0,0.0,1090.0
CoinFlip,170.0,40.0,0.0,0.0,0.0,0.0,210.0
FiveThirtyEight,270.0,200.0,200.0,80.0,0.0,0.0,750.0
CoinFlip,150.0,60.0,120.0,80.0,160.0,0.0,570.0
FiveThirtyEight,270.0,240.0,160.0,160.0,0.0,0.0,830.0
CoinFlip,120.0,100.0,80.0,0.0,0.0,0.0,300.0
FiveThirtyEight,240.0,240.0,240.0,240.0,160.0,0.0,1120.0
CoinFlip,130.0,40.0,40.0,80.0,0.0,0.0,290.0
FiveThirtyEight,270.0,220.0,240.0,320.0,160.0,0.0,1210.0
CoinFlip,140.0,80.0,80.0,80.0,160.0,0.0,540.0
FiveThirtyEight,260.0,260.0,200.0,80.0,0.0,0.0,800.0
CoinFlip,140.0,0.0,0.0,0.0,0.0,0.0,140.0
FiveThirtyEight,260.0,240.0,160.0,160.0,0.0,0.0,820.0
CoinFlip,140.0,60.0,40.0,0.0,0.0,0.0,240.0
FiveThirtyEight,290.0,240.0,160.0,80.0,0.0,0.0,770.0
CoinFlip,170.0,20.0,40.0,0.0,0.0,0.0,230.0
FiveThirtyEight,240.0,240.0,200.0,160.0,0.0,0.0,840.0
CoinFlip,160.0,80.0,0.0,0.0,0.0,0.0,240.0
FiveThirtyEight,260.0,260.0,240.0,160.0,160.0,0.0,1080.0
CoinFlip,150.0,80.0,0.0,0.0,0.0,0.0,230.0
FiveThirtyEight,180.0,220.0,280.0,160.0,0.0,0.0,840.0
CoinFlip,160.0,80.0,0.0,0.0,0.0,0.0,240.0
FiveThirtyEight,290.0,260.0,200.0,0.0,0.0,0.0,750.0
CoinFlip,140.0,20.0,40.0,0.0,0.0,0.0,200.0
FiveThirtyEight,270.0,240.0,240.0,160.0,160.0,0.0,1070.0
CoinFlip,180.0,120.0,120.0,80.0,160.0,0.0,660.0
FiveThirtyEight,300.0,220.0,200.0,160.0,160.0,0.0,1040.0
CoinFlip,170.0,80.0,40.0,0.0,0.0,0.0,290.0
FiveThirtyEight,240.0,240.0,200.0,80.0,0.0,0.0,760.0
CoinFlip,210.0,120.0,120.0,80.0,0.0,0.0,530.0
FiveThirtyEight,300.0,200.0,240.0,160.0,0.0,0.0,900.0
CoinFlip,150.0,100.0,80.0,0.0,0.0,0.0,330.0
FiveThirtyEight,260.0,240.0,200.0,80.0,0.0,0.0,780.0
CoinFlip,210.0,120.0,40.0,80.0,160.0,0.0,610.0
FiveThirtyEight,240.0,260.0,240.0,80.0,0.0,0.0,820.0
CoinFlip,170.0,100.0,0.0,0.0,0.0,0.0,270.0
FiveThirtyEight,250.0,240.0,240.0,240.0,160.0,0.0,1130.0
CoinFlip,170.0,80.0,40.0,80.0,0.0,0.0,370.0
FiveThirtyEight,280.0,260.0,240.0,80.0,0.0,0.0,860.0
CoinFlip,200.0,60.0,0.0,0.0,0.0,0.0,260.0
FiveThirtyEight,270.0,240.0,240.0,160.0,0.0,0.0,910.0
CoinFlip,120.0,60.0,80.0,0.0,0.0,0.0,260.0
FiveThirtyEight,260.0,220.0,240.0,160.0,160.0,0.0,1040.0
CoinFlip,180.0,60.0,0.0,0.0,0.0,0.0,240.0
FiveThirtyEight,260.0,240.0,200.0,160.0,0.0,0.0,860.0
CoinFlip,100.0,20.0,40.0,0.0,0.0,0.0,160.0
FiveThirtyEight,270.0,260.0,200.0,80.0,0.0,0.0,810.0
CoinFlip,140.0,60.0,0.0,0.0,0.0,0.0,200.0
FiveThirtyEight,270.0,220.0,240.0,160.0,160.0,0.0,1050.0
CoinFlip,150.0,100.0,80.0,80.0,160.0,0.0,570.0
FiveThirtyEight,290.0,200.0,160.0,160.0,160.0,0.0,970.0
CoinFlip,180.0,60.0,40.0,0.0,0.0,0.0,280.0
FiveThirtyEight,250.0,240.0,240.0,160.0,0.0,0.0,890.0
CoinFlip,150.0,40.0,40.0,0.0,0.0,0.0,230.0
FiveThirtyEight,300.0,220.0,240.0,160.0,0.0,0.0,920.0
CoinFlip,170.0,20.0,0.0,0.0,0.0,0.0,190.0
FiveThirtyEight,260.0,240.0,240.0,80.0,0.0,0.0,820.0
CoinFlip,110.0,140.0,40.0,80.0,0.0,0.0,370.0
FiveThirtyEight,250.0,160.0,160.0,240.0,0.0,0.0,810.0
CoinFlip,140.0,80.0,40.0,0.0,0.0,0.0,260.0
FiveThirtyEight,260.0,200.0,160.0,80.0,160.0,0.0,860.0
CoinFlip,110.0,60.0,40.0,0.0,0.0,0.0,210.0
FiveThirtyEight,290.0,220.0,200.0,80.0,0.0,0.0,790.0
CoinFlip,150.0,120.0,80.0,0.0,0.0,0.0,350.0
FiveThirtyEight,280.0,280.0,160.0,80.0,0.0,0.0,800.0
CoinFlip,170.0,60.0,0.0,0.0,0.0,0.0,230.0
FiveThirtyEight,260.0,260.0,200.0,160.0,160.0,0.0,1040.0
CoinFlip,150.0,80.0,80.0,0.0,0.0,0.0,310.0
FiveThirtyEight,270.0,280.0,240.0,160.0,0.0,0.0,950.0
CoinFlip,170.0,100.0,40.0,0.0,0.0,0.0,310.0
FiveThirtyEight,250.0,260.0,240.0,80.0,0.0,0.0,830.0
CoinFlip,190.0,20.0,0.0,0.0,0.0,0.0,210.0
FiveThirtyEight,270.0,260.0,160.0,160.0,0.0,0.0,850.0
CoinFlip,180.0,140.0,0.0,0.0,0.0,0.0,320.0
FiveThirtyEight,260.0,260.0,240.0,160.0,160.0,0.0,1080.0
CoinFlip,110.0,60.0,40.0,0.0,0.0,0.0,210.0
FiveThirtyEight,270.0,200.0,80.0,80.0,0.0,0.0,630.0
CoinFlip,170.0,20.0,0.0,0.0,0.0,0.0,190.0
FiveThirtyEight,280.0,240.0,240.0,160.0,160.0,0.0,1080.0
CoinFlip,210.0,100.0,40.0,0.0,0.0,0.0,350.0
FiveThirtyEight,250.0,260.0,200.0,160.0,0.0,0.0,870.0
CoinFlip,130.0,60.0,80.0,0.0,0.0,0.0,270.0
FiveThirtyEight,250.0,220.0,200.0,160.0,160.0,0.0,990.0
CoinFlip,180.0,120.0,0.0,0.0,0.0,0.0,300.0
FiveThirtyEight,260.0,240.0,240.0,240.0,0.0,0.0,980.0
CoinFlip,150.0,80.0,0.0,0.0,0.0,0.0,230.0
FiveThirtyEight,270.0,240.0,200.0,160.0,0.0,0.0,870.0
CoinFlip,180.0,80.0,40.0,0.0,0.0,0.0,300.0
FiveThirtyEight,250.0,200.0,200.0,80.0,0.0,0.0,730.0
CoinFlip,130.0,60.0,0.0,0.0,0.0,0.0,190.0
FiveThirtyEight,280.0,180.0,240.0,160.0,160.0,0.0,1020.0
CoinFlip,150.0,100.0,80.0,0.0,0.0,0.0,330.0
FiveThirtyEight,240.0,220.0,320.0,80.0,0.0,0.0,860.0
CoinFlip,170.0,100.0,0.0,0.0,0.0,0.0,270.0
FiveThirtyEight,250.0,240.0,160.0,80.0,0.0,0.0,730.0
CoinFlip,190.0,140.0,120.0,160.0,0.0,0.0,610.0
FiveThirtyEight,260.0,220.0,160.0,80.0,0.0,0.0,720.0
CoinFlip,150.0,100.0,80.0,80.0,0.0,0.0,410.0
FiveThirtyEight,260.0,240.0,200.0,240.0,160.0,320.0,1420.0
CoinFlip,150.0,60.0,0.0,0.0,0.0,0.0,210.0
FiveThirtyEight,270.0,220.0,120.0,0.0,0.0,0.0,610.0
CoinFlip,200.0,100.0,40.0,80.0,0.0,0.0,420.0
FiveThirtyEight,240.0,240.0,240.0,160.0,0.0,0.0,880.0
CoinFlip,170.0,40.0,0.0,0.0,0.0,0.0,210.0
FiveThirtyEight,280.0,220.0,200.0,80.0,0.0,0.0,780.0
CoinFlip,180.0,200.0,40.0,0.0,0.0,0.0,420.0
FiveThirtyEight,250.0,160.0,160.0,80.0,0.0,0.0,650.0
CoinFlip,200.0,80.0,40.0,0.0,0.0,0.0,320.0
FiveThirtyEight,260.0,240.0,200.0,80.0,0.0,0.0,780.0
CoinFlip,130.0,60.0,40.0,0.0,0.0,0.0,230.0
FiveThirtyEight,240.0,240.0,240.0,80.0,0.0,0.0,800.0
CoinFlip,140.0,100.0,160.0,0.0,0.0,0.0,400.0
FiveThirtyEight,280.0,240.0,240.0,160.0,0.0,0.0,920.0
CoinFlip,160.0,60.0,40.0,0.0,0.0,0.0,260.0
FiveThirtyEight,260.0,140.0,240.0,160.0,160.0,0.0,960.0
CoinFlip,150.0,80.0,40.0,0.0,0.0,0.0,270.0
FiveThirtyEight,260.0,280.0,200.0,160.0,0.0,0.0,900.0
CoinFlip,210.0,100.0,80.0,80.0,0.0,0.0,470.0
FiveThirtyEight,250.0,240.0,80.0,0.0,0.0,0.0,570.0
CoinFlip,180.0,60.0,40.0,0.0,0.0,0.0,280.0
FiveThirtyEight,280.0,260.0,80.0,80.0,0.0,0.0,700.0
CoinFlip,150.0,20.0,0.0,0.0,0.0,0.0,170.0
FiveThirtyEight,250.0,220.0,160.0,160.0,0.0,0.0,790.0
CoinFlip,170.0,80.0,40.0,0.0,0.0,0.0,290.0
FiveThirtyEight,250.0,240.0,160.0,160.0,160.0,0.0,970.0
CoinFlip,170.0,60.0,40.0,0.0,0.0,0.0,270.0
FiveThirtyEight,240.0,280.0,240.0,80.0,0.0,0.0,840.0
CoinFlip,130.0,140.0,40.0,0.0,0.0,0.0,310.0
FiveThirtyEight,290.0,220.0,120.0,0.0,0.0,0.0,630.0
CoinFlip,160.0,80.0,80.0,80.0,160.0,320.0,880.0
FiveThirtyEight,290.0,200.0,200.0,160.0,0.0,0.0,850.0
CoinFlip,170.0,40.0,40.0,0.0,0.0,0.0,250.0
FiveThirtyEight,270.0,240.0,200.0,160.0,160.0,0.0,1030.0
CoinFlip,150.0,20.0,40.0,0.0,0.0,0.0,210.0
FiveThirtyEight,270.0,240.0,240.0,160.0,0.0,0.0,910.0
CoinFlip,120.0,120.0,40.0,0.0,0.0,0.0,280.0
FiveThirtyEight,280.0,280.0,200.0,160.0,160.0,0.0,1080.0
CoinFlip,120.0,80.0,0.0,0.0,0.0,0.0,200.0
FiveThirtyEight,280.0,260.0,280.0,80.0,160.0,0.0,1060.0
CoinFlip,170.0,80.0,0.0,0.0,0.0,0.0,250.0
FiveThirtyEight,260.0,240.0,160.0,160.0,0.0,0.0,820.0
CoinFlip,150.0,80.0,80.0,0.0,0.0,0.0,310.0
FiveThirtyEight,280.0,280.0,200.0,240.0,160.0,0.0,1160.0
CoinFlip,180.0,100.0,40.0,0.0,0.0,0.0,320.0
FiveThirtyEight,230.0,220.0,200.0,160.0,0.0,0.0,810.0
CoinFlip,180.0,80.0,80.0,80.0,0.0,0.0,420.0
FiveThirtyEight,300.0,300.0,280.0,240.0,160.0,0.0,1280.0
CoinFlip,190.0,120.0,80.0,80.0,0.0,0.0,470.0
FiveThirtyEight,270.0,260.0,240.0,80.0,0.0,0.0,850.0
CoinFlip,120.0,80.0,0.0,0.0,0.0,0.0,200.0
FiveThirtyEight,290.0,200.0,160.0,160.0,0.0,0.0,810.0
CoinFlip,150.0,60.0,0.0,0.0,0.0,0.0,210.0
FiveThirtyEight,250.0,280.0,240.0,160.0,0.0,0.0,930.0
CoinFlip,220.0,80.0,0.0,0.0,0.0,0.0,300.0
FiveThirtyEight,240.0,220.0,160.0,0.0,0.0,0.0,620.0
CoinFlip,180.0,80.0,40.0,0.0,0.0,0.0,300.0
FiveThirtyEight,240.0,240.0,200.0,160.0,0.0,0.0,840.0
CoinFlip,180.0,100.0,0.0,0.0,0.0,0.0,280.0
FiveThirtyEight,260.0,260.0,200.0,160.0,160.0,0.0,1040.0
CoinFlip,180.0,80.0,80.0,80.0,0.0,0.0,420.0
FiveThirtyEight,260.0,260.0,240.0,240.0,0.0,0.0,1000.0
CoinFlip,120.0,40.0,0.0,0.0,0.0,0.0,160.0
FiveThirtyEight,270.0,260.0,200.0,160.0,0.0,0.0,890.0
CoinFlip,160.0,60.0,40.0,0.0,0.0,0.0,260.0
FiveThirtyEight,280.0,200.0,120.0,160.0,160.0,0.0,920.0
CoinFlip,160.0,20.0,0.0,0.0,0.0,0.0,180.0
FiveThirtyEight,230.0,200.0,120.0,160.0,0.0,0.0,710.0
CoinFlip,150.0,20.0,40.0,0.0,0.0,0.0,210.0
FiveThirtyEight,240.0,220.0,240.0,160.0,0.0,0.0,860.0
CoinFlip,140.0,100.0,40.0,80.0,0.0,0.0,360.0
FiveThirtyEight,240.0,240.0,200.0,160.0,160.0,320.0,1320.0
CoinFlip,150.0,60.0,0.0,0.0,0.0,0.0,210.0
FiveThirtyEight,260.0,260.0,240.0,160.0,160.0,320.0,1400.0
CoinFlip,190.0,140.0,120.0,80.0,0.0,0.0,530.0
FiveThirtyEight,270.0,240.0,200.0,160.0,160.0,0.0,1030.0
CoinFlip,160.0,80.0,40.0,80.0,160.0,0.0,520.0
FiveThirtyEight,280.0,220.0,160.0,160.0,0.0,0.0,820.0
CoinFlip,110.0,0.0,0.0,0.0,0.0,0.0,110.0
FiveThirtyEight,260.0,220.0,240.0,80.0,0.0,0.0,800.0
CoinFlip,150.0,60.0,0.0,0.0,0.0,0.0,210.0
FiveThirtyEight,260.0,220.0,160.0,160.0,160.0,0.0,960.0
CoinFlip,180.0,80.0,80.0,0.0,0.0,0.0,340.0
FiveThirtyEight,300.0,220.0,160.0,80.0,0.0,0.0,760.0
CoinFlip,120.0,40.0,0.0,0.0,0.0,0.0,160.0
FiveThirtyEight,260.0,200.0,200.0,80.0,0.0,0.0,740.0
CoinFlip,140.0,40.0,0.0,0.0,0.0,0.0,180.0
FiveThirtyEight,250.0,240.0,240.0,80.0,0.0,0.0,810.0
CoinFlip,180.0,60.0,0.0,0.0,0.0,0.0,240.0
FiveThirtyEight,270.0,260.0,160.0,160.0,160.0,0.0,1010.0
CoinFlip,140.0,20.0,0.0,0.0,0.0,0.0,160.0
FiveThirtyEight,260.0,240.0,200.0,80.0,0.0,0.0,780.0
CoinFlip,120.0,60.0,0.0,0.0,0.0,0.0,180.0
FiveThirtyEight,250.0,240.0,240.0,160.0,0.0,0.0,890.0
CoinFlip,140.0,80.0,40.0,80.0,0.0,0.0,340.0
FiveThirtyEight,250.0,240.0,160.0,160.0,160.0,0.0,970.0
CoinFlip,140.0,40.0,0.0,0.0,0.0,0.0,180.0
FiveThirtyEight,270.0,240.0,240.0,160.0,0.0,0.0,910.0
CoinFlip,190.0,120.0,80.0,0.0,0.0,0.0,390.0
FiveThirtyEight,280.0,200.0,240.0,240.0,160.0,320.0,1440.0
CoinFlip,180.0,100.0,0.0,0.0,0.0,0.0,280.0
FiveThirtyEight,300.0,220.0,200.0,240.0,160.0,320.0,1440.0
CoinFlip,150.0,120.0,160.0,160.0,160.0,0.0,750.0
FiveThirtyEight,260.0,200.0,160.0,80.0,160.0,0.0,860.0
CoinFlip,140.0,80.0,40.0,80.0,0.0,0.0,340.0
FiveThirtyEight,260.0,220.0,200.0,80.0,160.0,0.0,920.0
CoinFlip,170.0,60.0,0.0,0.0,0.0,0.0,230.0
FiveThirtyEight,300.0,220.0,200.0,160.0,0.0,0.0,880.0
CoinFlip,130.0,80.0,0.0,0.0,0.0,0.0,210.0
FiveThirtyEight,270.0,240.0,200.0,160.0,0.0,0.0,870.0
CoinFlip,140.0,100.0,40.0,0.0,0.0,0.0,280.0
FiveThirtyEight,240.0,240.0,200.0,160.0,0.0,0.0,840.0
CoinFlip,140.0,80.0,0.0,0.0,0.0,0.0,220.0
FiveThirtyEight,220.0,180.0,200.0,160.0,160.0,0.0,920.0
CoinFlip,150.0,20.0,0.0,0.0,0.0,0.0,170.0
FiveThirtyEight,260.0,240.0,160.0,240.0,160.0,320.0,1380.0
CoinFlip,140.0,80.0,80.0,80.0,160.0,0.0,540.0
FiveThirtyEight,250.0,220.0,160.0,160.0,0.0,0.0,790.0
CoinFlip,140.0,60.0,0.0,0.0,0.0,0.0,200.0
FiveThirtyEight,280.0,280.0,280.0,160.0,0.0,0.0,1000.0
CoinFlip,150.0,80.0,40.0,80.0,0.0,0.0,350.0
FiveThirtyEight,280.0,240.0,200.0,160.0,0.0,0.0,880.0
CoinFlip,170.0,100.0,80.0,80.0,0.0,0.0,430.0
FiveThirtyEight,250.0,240.0,160.0,160.0,160.0,0.0,970.0
CoinFlip,190.0,100.0,120.0,80.0,0.0,0.0,490.0
FiveThirtyEight,250.0,260.0,200.0,160.0,160.0,0.0,1030.0
CoinFlip,160.0,60.0,0.0,0.0,0.0,0.0,220.0
FiveThirtyEight,270.0,240.0,160.0,0.0,0.0,0.0,670.0
CoinFlip,220.0,100.0,120.0,160.0,0.0,0.0,600.0
FiveThirtyEight,270.0,260.0,200.0,160.0,160.0,0.0,1050.0
CoinFlip,120.0,60.0,0.0,0.0,0.0,0.0,180.0
FiveThirtyEight,280.0,220.0,160.0,80.0,0.0,0.0,740.0
CoinFlip,190.0,60.0,40.0,0.0,0.0,0.0,290.0
FiveThirtyEight,220.0,280.0,200.0,80.0,0.0,0.0,780.0
CoinFlip,190.0,100.0,80.0,0.0,0.0,0.0,370.0
FiveThirtyEight,260.0,260.0,200.0,160.0,0.0,0.0,880.0
CoinFlip,190.0,100.0,40.0,0.0,0.0,0.0,330.0
FiveThirtyEight,280.0,280.0,160.0,160.0,0.0,0.0,880.0
CoinFlip,150.0,100.0,120.0,160.0,0.0,0.0,530.0
FiveThirtyEight,270.0,220.0,200.0,240.0,0.0,0.0,930.0
CoinFlip,160.0,40.0,0.0,0.0,0.0,0.0,200.0
FiveThirtyEight,260.0,300.0,200.0,160.0,160.0,0.0,1080.0
CoinFlip,90.0,20.0,0.0,0.0,0.0,0.0,110.0
FiveThirtyEight,250.0,280.0,200.0,160.0,0.0,0.0,890.0
CoinFlip,170.0,100.0,40.0,0.0,0.0,0.0,310.0
FiveThirtyEight,300.0,220.0,240.0,160.0,0.0,0.0,920.0
CoinFlip,200.0,100.0,0.0,0.0,0.0,0.0,300.0
FiveThirtyEight,250.0,220.0,120.0,160.0,160.0,0.0,910.0
CoinFlip,180.0,140.0,80.0,80.0,0.0,0.0,480.0
FiveThirtyEight,260.0,220.0,160.0,160.0,160.0,0.0,960.0
CoinFlip,190.0,40.0,40.0,0.0,0.0,0.0,270.0
FiveThirtyEight,250.0,260.0,200.0,80.0,0.0,0.0,790.0
CoinFlip,140.0,80.0,0.0,0.0,0.0,0.0,220.0
FiveThirtyEight,290.0,240.0,160.0,80.0,160.0,0.0,930.0
CoinFlip,170.0,60.0,0.0,0.0,0.0,0.0,230.0
FiveThirtyEight,250.0,240.0,200.0,80.0,0.0,0.0,770.0
CoinFlip,100.0,60.0,0.0,0.0,0.0,0.0,160.0
FiveThirtyEight,280.0,220.0,200.0,80.0,0.0,0.0,780.0
CoinFlip,180.0,80.0,0.0,0.0,0.0,0.0,260.0
FiveThirtyEight,290.0,260.0,240.0,240.0,0.0,0.0,1030.0
CoinFlip,140.0,100.0,40.0,0.0,0.0,0.0,280.0
FiveThirtyEight,270.0,240.0,120.0,80.0,0.0,0.0,710.0
CoinFlip,140.0,80.0,40.0,0.0,0.0,0.0,260.0
FiveThirtyEight,240.0,220.0,160.0,160.0,160.0,0.0,940.0
CoinFlip,170.0,60.0,40.0,0.0,0.0,0.0,270.0
FiveThirtyEight,280.0,220.0,200.0,160.0,0.0,0.0,860.0
CoinFlip,170.0,120.0,40.0,80.0,0.0,0.0,410.0
FiveThirtyEight,280.0,260.0,120.0,80.0,0.0,0.0,740.0
CoinFlip,160.0,100.0,120.0,0.0,0.0,0.0,380.0
FiveThirtyEight,290.0,260.0,280.0,160.0,160.0,320.0,1470.0
CoinFlip,120.0,40.0,0.0,0.0,0.0,0.0,160.0
FiveThirtyEight,270.0,280.0,240.0,240.0,0.0,0.0,1030.0
CoinFlip,220.0,100.0,80.0,0.0,0.0,0.0,400.0
FiveThirtyEight,260.0,240.0,200.0,80.0,0.0,0.0,780.0
CoinFlip,180.0,80.0,40.0,0.0,0.0,0.0,300.0
FiveThirtyEight,280.0,240.0,120.0,80.0,0.0,0.0,720.0
CoinFlip,140.0,80.0,0.0,0.0,0.0,0.0,220.0
FiveThirtyEight,250.0,220.0,200.0,240.0,160.0,0.0,1070.0
CoinFlip,170.0,140.0,120.0,0.0,0.0,0.0,430.0
FiveThirtyEight,260.0,220.0,160.0,80.0,0.0,0.0,720.0
CoinFlip,160.0,60.0,0.0,0.0,0.0,0.0,220.0
FiveThirtyEight,280.0,240.0,200.0,160.0,160.0,0.0,1040.0
CoinFlip,150.0,60.0,0.0,0.0,0.0,0.0,210.0
FiveThirtyEight,260.0,260.0,200.0,160.0,0.0,0.0,880.0
CoinFlip,150.0,100.0,0.0,0.0,0.0,0.0,250.0
FiveThirtyEight,260.0,240.0,240.0,80.0,0.0,0.0,820.0
CoinFlip,120.0,120.0,80.0,0.0,0.0,0.0,320.0
FiveThirtyEight,240.0,240.0,120.0,80.0,0.0,0.0,680.0
CoinFlip,200.0,40.0,80.0,0.0,0.0,0.0,320.0
FiveThirtyEight,280.0,200.0,200.0,160.0,0.0,0.0,840.0
CoinFlip,190.0,100.0,80.0,0.0,0.0,0.0,370.0
FiveThirtyEight,220.0,260.0,160.0,80.0,0.0,0.0,720.0
CoinFlip,200.0,60.0,0.0,0.0,0.0,0.0,260.0
FiveThirtyEight,290.0,220.0,200.0,80.0,0.0,0.0,790.0
CoinFlip,170.0,60.0,0.0,0.0,0.0,0.0,230.0
FiveThirtyEight,290.0,200.0,200.0,160.0,160.0,0.0,1010.0
CoinFlip,100.0,60.0,0.0,0.0,0.0,0.0,160.0
FiveThirtyEight,270.0,260.0,200.0,160.0,160.0,0.0,1050.0
CoinFlip,160.0,80.0,0.0,0.0,0.0,0.0,240.0
FiveThirtyEight,250.0,200.0,240.0,160.0,160.0,0.0,1010.0
CoinFlip,210.0,140.0,40.0,80.0,0.0,0.0,470.0
FiveThirtyEight,240.0,220.0,200.0,240.0,160.0,0.0,1060.0
CoinFlip,150.0,100.0,80.0,0.0,0.0,0.0,330.0
FiveThirtyEight,240.0,200.0,200.0,240.0,160.0,0.0,1040.0
CoinFlip,170.0,60.0,40.0,80.0,160.0,0.0,510.0
FiveThirtyEight,270.0,280.0,200.0,80.0,0.0,0.0,830.0
CoinFlip,140.0,100.0,0.0,0.0,0.0,0.0,240.0
FiveThirtyEight,270.0,220.0,200.0,160.0,160.0,0.0,1010.0
CoinFlip,140.0,80.0,80.0,80.0,0.0,0.0,380.0
FiveThirtyEight,290.0,260.0,240.0,240.0,160.0,0.0,1190.0
CoinFlip,150.0,60.0,0.0,0.0,0.0,0.0,210.0
FiveThirtyEight,250.0,260.0,240.0,160.0,0.0,0.0,910.0
CoinFlip,160.0,40.0,0.0,0.0,0.0,0.0,200.0
FiveThirtyEight,290.0,260.0,240.0,240.0,160.0,320.0,1510.0
CoinFlip,150.0,100.0,40.0,0.0,0.0,0.0,290.0
FiveThirtyEight,270.0,260.0,200.0,240.0,320.0,320.0,1610.0
CoinFlip,150.0,80.0,40.0,80.0,160.0,320.0,830.0
FiveThirtyEight,270.0,240.0,240.0,160.0,160.0,0.0,1070.0
CoinFlip,170.0,80.0,40.0,0.0,0.0,0.0,290.0
FiveThirtyEight,280.0,280.0,200.0,80.0,0.0,0.0,840.0
CoinFlip,90.0,40.0,40.0,0.0,0.0,0.0,170.0
FiveThirtyEight,240.0,240.0,200.0,160.0,0.0,0.0,840.0
CoinFlip,190.0,160.0,80.0,0.0,0.0,0.0,430.0
FiveThirtyEight,260.0,220.0,160.0,160.0,160.0,0.0,960.0
CoinFlip,130.0,40.0,0.0,0.0,0.0,0.0,170.0
FiveThirtyEight,250.0,260.0,200.0,160.0,160.0,0.0,1030.0
CoinFlip,150.0,60.0,40.0,0.0,0.0,0.0,250.0
FiveThirtyEight,270.0,260.0,200.0,160.0,0.0,0.0,890.0
CoinFlip,180.0,60.0,80.0,160.0,0.0,0.0,480.0
FiveThirtyEight,270.0,240.0,120.0,80.0,0.0,0.0,710.0
CoinFlip,140.0,40.0,80.0,0.0,0.0,0.0,260.0
FiveThirtyEight,260.0,240.0,240.0,160.0,0.0,0.0,900.0
CoinFlip,160.0,140.0,120.0,0.0,0.0,0.0,420.0
FiveThirtyEight,250.0,280.0,160.0,80.0,0.0,0.0,770.0
CoinFlip,170.0,120.0,120.0,0.0,0.0,0.0,410.0
FiveThirtyEight,260.0,280.0,200.0,160.0,0.0,0.0,900.0
CoinFlip,130.0,40.0,80.0,80.0,0.0,0.0,330.0
FiveThirtyEight,250.0,240.0,200.0,160.0,160.0,0.0,1010.0
CoinFlip,160.0,40.0,40.0,0.0,0.0,0.0,240.0
FiveThirtyEight,290.0,240.0,240.0,0.0,0.0,0.0,770.0
CoinFlip,150.0,100.0,40.0,0.0,0.0,0.0,290.0
FiveThirtyEight,270.0,260.0,240.0,80.0,0.0,0.0,850.0
CoinFlip,100.0,40.0,80.0,160.0,160.0,320.0,860.0
FiveThirtyEight,280.0,240.0,160.0,160.0,0.0,0.0,840.0
CoinFlip,150.0,40.0,0.0,0.0,0.0,0.0,190.0
FiveThirtyEight,280.0,280.0,160.0,160.0,0.0,0.0,880.0
CoinFlip,130.0,20.0,0.0,0.0,0.0,0.0,150.0
FiveThirtyEight,270.0,180.0,160.0,80.0,0.0,0.0,690.0
CoinFlip,140.0,100.0,80.0,0.0,0.0,0.0,320.0
FiveThirtyEight,280.0,200.0,160.0,80.0,160.0,0.0,880.0
CoinFlip,140.0,40.0,0.0,0.0,0.0,0.0,180.0
FiveThirtyEight,260.0,280.0,280.0,80.0,0.0,0.0,900.0
CoinFlip,190.0,100.0,40.0,80.0,0.0,0.0,410.0
FiveThirtyEight,290.0,240.0,160.0,160.0,0.0,0.0,850.0
CoinFlip,150.0,100.0,40.0,0.0,0.0,0.0,290.0
FiveThirtyEight,290.0,240.0,280.0,160.0,160.0,0.0,1130.0
CoinFlip,160.0,60.0,40.0,80.0,0.0,0.0,340.0
FiveThirtyEight,280.0,220.0,160.0,80.0,0.0,0.0,740.0
CoinFlip,210.0,120.0,40.0,0.0,0.0,0.0,370.0
FiveThirtyEight,280.0,260.0,160.0,160.0,160.0,0.0,1020.0
CoinFlip,150.0,100.0,40.0,80.0,0.0,0.0,370.0
FiveThirtyEight,260.0,280.0,240.0,80.0,0.0,0.0,860.0
CoinFlip,150.0,60.0,40.0,0.0,0.0,0.0,250.0
FiveThirtyEight,290.0,240.0,240.0,160.0,0.0,0.0,930.0
CoinFlip,160.0,40.0,40.0,0.0,0.0,0.0,240.0
FiveThirtyEight,270.0,240.0,200.0,160.0,0.0,0.0,870.0
CoinFlip,160.0,100.0,0.0,0.0,0.0,0.0,260.0
FiveThirtyEight,290.0,260.0,200.0,80.0,0.0,0.0,830.0
CoinFlip,140.0,40.0,40.0,0.0,0.0,0.0,220.0
FiveThirtyEight,270.0,260.0,160.0,160.0,0.0,0.0,850.0
CoinFlip,140.0,100.0,160.0,0.0,0.0,0.0,400.0
